Studio,Status,Exclusivity,Game Identifier,Game Name,EN,CN,TH,VN,ID,KR,MY,PTBR,ESLA,RU,TR,BN,HI,RTP,Volatility,Highest Payout,Bonus,Hit Rate,Reels,Display,Game Type,Win Tiers,Line/Ways,Buy Feature,Free Spin,Respin,Retrigger,Lucky Draw,Bonus,Hold & Spin,Multiplier Symbol,Increasing Multiplier,Featured Wild,Progressive Jackpot,Fixed Jackpot,Double Chance feature,Gamification,Design Theme & Features,Market Filter,Additional Market Filter,Country Filter,Game Description,GAME DEMO,Brochure EN,Brochure CN,Game Banners,PSD File,Game Design Document,"Localisation
(Translation Progress)",UKGC Certification,GLI 19 Certification,PAGCOR Certification,"
Global Labs
Certification (Peru)"
KB,Pre-Production,,sushi-rush,Sushi Rush,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,97.01%,MEDIUM,2500X,-,22.19%,3x3,Portrait,Video Slots,,5 Paylines,,,✓,,,,,,,✓,,,,,,,,,,https://sushi-rush-demo.gs6.kingmidasdev.net/?test=1,,N.A,,,,,PENDING,PENDING,PENDING,PENDING
KB,Pre-Production,,wild-witch-sugar-bonanza,Wild Witch Sugar Bonanza,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,97.01%,MEDIUM,2500X,-,22.19%,3x3,Portrait,Video Slots,,5 Paylines,,,✓,,,,,,,✓,,,,,,,,,,https://wild-witch-sugar-bonanza-demo.gs6.kingmidasdev.net/?test=1,,N.A,,,,,,,,
KB,Pre-Production,,heavenly-feast-with-wukong,Heavenly Feast With Wukong,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,97.01%,MEDIUM,2500X,-,22.19%,3x3,Portrait,Video Slots,,5 Paylines,,,✓,,,,,,,✓,,,,,,,,,,https://heavenly-feast-with-wukong-demo.gs6.kingmidasdev.net/?test=1,,N.A,,,,,,,,
KB,Pre-Production,,greatest-christmas-1000,Greatest Christmas 1000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,96.95%,MEDIUM,15000X,-,27.94%,6x5,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",Scatter Pays,✓,✓,,✓,,,,✓,,,,,,,,,,,,https://greatest-christmas-1000-demo.gs6.kingmidasdev.net/?test=1,,N.A,,,,,,,,
KB,Pre-Production,,farm-frenzy-1000,Farm Frenzy 1000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,96.95%,MEDIUM,15000X,-,27.94%,6x5,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",Scatter Pays,,,,,,,,,,,,,,,,,,,,,,N.A,,,,,,,,
KB,Pre-Production,,dragon-fortune,Dragon Fortune,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N.A,,,,,,,,
KB,Pre-Production,,maya-temple-of-fortune,Maya: Temple of Fortune,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N.A,,,,,,,,
KB,Pre-Production,,caishen-double-fortune,Caishen Double Fortune,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N.A,,,,,,,,
KB,Pre-Production,,dracula,Dracula,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N.A,,,,,,,,
KB,Pre-Production,,bonsai,Bonsai,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N.A,,,,,,,,
KM,Launched,,sugar-blast,SUGAR BLAST,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,96.98%,HIGH,3000X,-,31.25%,6x6,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",Cluster Pays,✓,✓,,,,,,,,,,,,Free Plays,"Vibrant, Candies, Bombs, Sweets, Pink, Blue, Candy symbols, Casual",North America,Latin America,"United States of America
Brazil",Sugar Blast is a slot reel-style game with a delightful twist. Create winning combos by eliminating candy symbols. Fire up to three cannon bombs onto a 3x3 grid. Match 5 or more identical candies to activate special bombs and smash candies into colorful bits. ,https://demo8.kingmidasdev.net/games/sugar-blast?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/sugar-blast_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/sugar-blast_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/sugar-blast_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/sugar-blast_psd.zip,Sugar Blast,Table Games Translations Masterlist,PENDING,PENDING,CERTIFIED,PENDING
KM,Launched,"All, UFA",sugar-blast-2,SUGAR BLAST FRENZY,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,96.98%,HIGH,3000X,-,28.17%,6x6,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",Cluster Pays,✓,✓,,,,,,,,,,,,Free Plays,"Vibrant, Candies, Sweets, Pink, Blue, Candy symbols, Casual, ",North America,Europe,"United States of America
United Kingdom","Get ready for a sugar rush like no other. Sugar Blast is a slot reel-style game with a delightful twist. Eliminate candy symbols to create the most tantalising winning combination. The more combos you create, the sweeter the rewards! Match 5 or more identical candies in a row and be rewarded with a special bomb activation, which you can use to smash candies into colourful bits.
",https://demo8.kingmidasdev.net/games/sugar-blast-2?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/sugar-blast-frenzy_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/sugar-blast-frenzy_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/sugar-blast-frenzy_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/sugar-blast-frenzy_psd.zip,Sugar Blast 2,Table Games Translations Masterlist,PENDING,IN PROGRESS,PENDING,IN PROGRESS
KM,Launched,,viking-blast,GEMS OF VALHALLA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,97.00%,HIGH,5000X,-,27.10%,6x6,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",Cluster Pays,✓,✓,,,,,,,,,,,,Free Plays,"Blue, Chest, Coins, Gems, Gold, Ships, Treasures, Valkyrie, Viking, Water, Weapons",Europe,,United Kingdom,"Step into the sacred chambers of Valhalla, where a treasure trove of gems awaits your discovery. Match 4 or more symbols to unlock exciting rewards. Look out for scatter symbols to trigger bonus spins that reveal random gem types. Want to boost your earnings? Buy the free spin feature and increase your chances of winning big. ",https://demo8.kingmidasdev.net/games/viking-blast?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/gems-of-valhalla_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/gems-of-valhalla_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/gems-of-valhalla_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/gems-of-valhalla_psd.zip,Gems of Valhalla Slots (viking-blast),Table Games Translations Masterlist,PENDING,IN PROGRESS,CERTIFIED,IN PROGRESS
KM,Launched,"All, UFA",cleopatras-treasure,CLEOPATRA'S TREASURE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,97.00%,HIGH,5000X,200,34.01%,5x4,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",Cluster Pays,✓,✓,,✓,,✓,,,,,,,,Free Plays,"Gold, purple, brown backgrounds, wheel of fortune, coins, ankh, scarab, ring, scepter, Egyptian queen, Anubis, hieroglyphs, orb, ancient Egypt, treasure hunt.",North America,MENA,"United States of America
United Kingdom
Egypt","Unearth the riches of ancient Egypt with Cleopatra's Treasure! Navigate the 4x5 reels where mystery multipliers lie in wait, ready to amplify your winnings. Scatter symbols unlock the gate to free spins, granting you endless opportunities to claim Cleopatra's coveted treasures. Feeling bold? Buy your way into the free spins bonus and let the sands of time rain down riches upon you. Spin the reels and embrace your destiny as the next ruler of the Nile!",https://demo8.kingmidasdev.net/games/cleopatras-treasure?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/cleopatras-treasure_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/cleopatras-treasure_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/cleopatras-treasure_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/cleopatras-treasure_psd.zip,Cleopatra's Treasure Slots,Table Games Translations Masterlist,PENDING,CERTIFIED,CERTIFIED,IN PROGRESS
KM,Launched,"All, UFA",rooster-blitz,ROOSTER BLITZ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,97.00%,HIGH,5000X,-,28.17%,6x6,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",Cluster Pays,✓,✓,,,,-,,,,,,,,Free Plays,"Brown, gold, red, feathers, eggs, roosters, wheat, rooster fight, animal

",North America,Latin America,"United States of America
Brazil
Vietnam","Rooster Blitz is a match-3 slot reel-style game where you aim to eliminate symbols and create winning combinations. The more match-3 combos you achieve, the greater your winnings!",https://demo8.kingmidasdev.net/games/rooster-blitz?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/rooster-blitz_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/rooster-blitz_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/rooster-blitz_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/rooster-blitz_psd.zip,Cockfighting Blast,Table Games Translations Masterlist,PENDING,PENDING,PENDING,IN PROGRESS
KM,Launched,"All, UFA",gold-rush-bonanza,GOLD RUSH BONANZA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,97.00%,HIGH,5000X,100X,37.17%,6x5,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",Cluster Pays,✓,✓,,✓,,✓,,,,,,,,Free Plays,"Adventure, Coins, Cowboys, Diamond, Gold, Hat, Sheriff, Treasures, Weapons, Wild West",North America,Latin America,"United States of America
Brazil
Malaysia","Saddle up for a Wild West adventure on a 5x6 reel slot, where fortunes await with every spin!
Match 4 or more symbols to win, with cascading reels keeping the excitement high! Land consecutive combos to trigger Free Spin, where multiplier diamonds can boost your winnings by up to 100x! Retrigger Free Spins for even more chances to strike gold. Feeling lucky? Buy Free Spins and start with at least 15 spins to chase the ultimate prize. With up to 5000x your bet to be won, the Wild West is calling, are you ready for the gold rush?",https://demo8.kingmidasdev.net/games/gold-rush-bonanza?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/gold-rush-bonanza_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/gold-rush-bonanza_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/gold-rush-bonanza_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/gold-rush-bonanza_psd.zip,Gold Rush Bonanza (Wild West Slots) GDD,Table Games Translations Masterlist,PENDING,PENDING,PENDING,PENDING
KM,Launched,"All, UFA",pirates-treasure,PIRATE'S TREASURE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,97.00%,HIGH,2000X,10X,45.33%,5x4,Portrait,Video Slots,"Normal (None)
Big Win (>=x3)
Mega Win (>=x8)
Ultra Win (>=x15)
Super Ultra Win (>=x25)",Cluster Pays,✓,✓,,✓,,✓,,,,,,,,Free Plays,"Adventure, Coins, Cowboys, Diamond, Revolvers, Bullet, Gold, Hat, Sheriff, Treasures, Weapons, Wild West, Desert, Western",North America,Latin America,"United States of America
Brazil
Malaysia","Ahoy, matey! Set sail on a swashbuckling adventure with Pirate’s Treasure! This 4x5 cascading slot game, featuring the daring Link Bonus, promises boundless riches. Watch symbols explode and cascade, unlocking endless opportunities for payouts. Land 4 scatter symbols to activate the Link Bonus free spin mode, where reels spin independently, resetting spins and multiplying your loot up to 10x. Hoist the anchor, spin the reels, and claim the pirate’s bounty—yarrr, the treasure awaits!",https://demo8.kingmidasdev.net/games/pirates-treasure?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/pirates-treasure_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/pirates-treasure_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/pirates-treasure_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/pirates-treasure_psd.zip,Pirate's Treasure (Pirate Slots) GDD,Table Games Translations Masterlist,PENDING,PENDING,PENDING,PENDING
KM,Launched,"All, UFA",hippo-splash,HIPPO SPLASH,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,97.00%,MEDIUM,2500X,10X,24.27%,3x3,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",5 Paylines,,,,,,✓,,,,,,,,Free Plays,"Green, gold, blue, fruit, flowers, jewelry, hippo, water bowl, fireworks, lotus, tropical plants, celebration, river",ALL,,"United States of America
Brazil
Malaysia","Jump into action with Hippo Splash! This is a 3 x 3 reel slot game with 5 paylines. Watch as the Hippo Splash Feature triggers randomly, flooding the reels with matching symbols and Wilds for exciting respins. Land winning symbols to keep the streak going with no extra symbols, and the feature ends with big payouts! ",https://demo8.kingmidasdev.net/games/hippo-splash?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/hippo-splash_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/hippo-splash_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/hippo-splash_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/hippo-splash_psd.zip,Hippo splash Slots -MY,hippo-splash,PENDING,PENDING,PENDING,PENDING
